ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
AB408,Exposición docente,240703_03,240703_03_AB408_SC.XLSX,240703_03_AB4D_JIN.XLSX
AB410,Exposición docente,240703_03,240703_03_AB410_KL.XLSX,240703_03_AB4D_JIN.XLSX
AB310,Juego con números,240703_04,240703_04_AB310_SC.XLSX,240703_04_AB3D_JIN.XLSX
AB311,Juego con números,240703_04,240703_04_AB311_KL.XLSX,240703_04_AB3D_JIN.XLSX
AB304,Juego con números,240703_05,240703_05_AB304_SC.XLSX,240703_05_AB3D_JIN.XLSX
AB305,Juego con números,240703_05,240703_05_AB305_KL.XLSX,240703_05_AB3D_JIN.XLSX
AB301,Juego con números,240703_06,240703_06_AB301_KL.XLSX,240703_06_AB3D_JIN.XLSX
AB302,Juego con números,240703_06,240703_06_AB302_SC.XLSX,240703_06_AB3D_JIN.XLSX
BB201,Exposición docente,240704_01,240704_01_BB201_KL.XLSX,240704_01_BB21D_JIN.XLSX
BB210,Exposición docente,240704_01,240704_01_BB210_GA.XLSX,240704_01_BB21D_JIN.XLSX
BB213,Exposición docente,240704_01,240704_01_BB213_AB.XLSX,240704_01_BB21D_JIN.XLSX
BB203,Exposición docente,240704_02,240704_02_BB203_KL.XLSX,240704_02_BB21D_JIN.XLSX
BB207,Exposición docente,240704_02,240704_02_BB207_AB.XLSX,240704_02_BB21D_JIN.XLSX
BB209,Dibujo/pintura,240704_03,240704_03_BB209_AB.XLSX,240704_03_BB21D_JIN.XLSX
BB212,Dibujo/pintura,240704_03,240704_03_BB212_KL.XLSX,240704_03_BB21D_JIN.XLSX
BB219,Dibujo/pintura,240704_03,240704_03_BB219_GA.XLSX,240704_03_BB21D_JIN.XLSX
BB204,Dibujo/pintura,240704_04,240704_04_BB204_GA.XLSX,240704_04_BB21D_JIN.XLSX
BB211,Dibujo/pintura,240704_04,240704_04_BB211_KL.XLSX,240704_04_BB21D_JIN.XLSX
BB203,Dibujo/pintura,240704_05,240704_05_BB203_AB.XLSX,240704_05_BB21D_JIN.XLSX
BB210,Dibujo/pintura,240704_05,240704_05_BB210_KL.XLSX,240704_05_BB21D_JIN.XLSX
BB213,Dibujo/pintura,240704_05,240704_05_BB213_GA.XLSX,240704_05_BB21D_JIN.XLSX
BB202,Exposición docente,240704_06,240704_06_BB202_GA.XLSX,240704_06_BB21D_JIN.XLSX
BB215,Exposición docente,240704_06,240704_06_BB215_KL.XLSX,240704_06_BB21D_JIN.XLSX
BB220,Exposición docente,240704_06,240704_06_BB220_AB.XLSX,240704_06_BB21D_JIN.XLSX
BB221,Exposición docente,240705_01,240705_01_BB221_SC.XLSX,240705_01_BBXD_JIN.XLSX
BB205,Lectoescritura,240705_02,240705_02_BB205_SC.XLSX,240705_02_BBXD_JIN.XLSX
BB216,Exposición docente,240705_03,240705_03_BB216_SC.XLSX,240705_03_BBXD_JIN.XLSX
BB217,Exposición docente,240705_03,240705_03_BB217_LL.XLSX,240705_03_BBXD_JIN.XLSX
BB206,Exposición docente,240705_04,240705_04_BB206_LL.XLSX,240705_04_BBXD_JIN.XLSX
BB208,Exposición docente,240705_04,240705_04_BB208_SC.XLSX,240705_04_BBXD_JIN.XLSX
BB214,Juego libre,240705_05,240705_05_BB214_SC.XLSX,240705_05_BBXD_JIN.XLSX
BB219,Juego libre,240705_05,240705_05_BB219_LL.XLSX,240705_05_BBXD_JIN.XLSX
BB201,Juego libre,240705_06,240705_06_BB201_LL.XLSX,240705_06_BBXD_JIN.XLSX
BB207,Dibujo/pintura,240705_06,240705_06_BB207_SC.XLSX,240705_06_BBXD_JIN.XLSX
BB209,Juego libre,240705_07,240705_07_BB209_SC.XLSX,240705_07_BBXD_JIN.XLSX
BB210,Juego libre,240705_07,240705_07_BB210_LL.XLSX,240705_07_BBXD_JIN.XLSX
BB211,Juego libre,240705_08,240705_08_BB211_LL.XLSX,240705_08_BBXD_JIN.XLSX
BB212,Exposición docente,240705_08,240705_08_BB212_SC.XLSX,240705_08_BBXD_JIN.XLSX
BB213,Juego libre,240705_09,240705_09_BB213_SC.XLSX,240705_09_BBXD_JIN.XLSX
BB220,Juego libre,240705_09,240705_09_BB220_JIN.XLSX,240705_09_BBXD_JIN.XLSX
BB221,Juego libre,240705_09,240705_09_BB221_LL.XLSX,240705_09_BBXD_JIN.XLSX
AB303,Exposición docente,240710_01,240710_01_AB303_SZ.XLSX,240710_01_AB3D_JIN.XLSX
AB305,Juego libre,240710_02,240710_02_AB305_SZ.XLSX,240710_02_AB3D_JIN.XLSX
AB306,Juego libre,240710_02,240710_02_AB306_SC.XLSX,240710_02_AB3D_JIN.XLSX
AB311,Juego libre,240710_03,240710_03_AB311_SC.XLSX,240710_03_AB3D_JIN.XLSX
AB312,Juego libre,240710_03,240710_03_AB312_SZ.XLSX,240710_03_AB3D_JIN.XLSX
AB307,Juego libre,240710_04,240710_04_AB307_SC.XLSX,240710_04_AB3D_JIN.XLSX
AB310,Juego libre,240710_04,240710_04_AB310_SZ.XLSX,240710_04_AB3D_JIN.XLSX
AB311,Juego libre,240710_05,240710_05_AB311_SZ.XLSX,240710_05_AB3D_JIN.XLSX
AB315,Juego libre,240710_05,240710_05_AB315_SC.XLSX,240710_05_AB3D_JIN.XLSX
AB301,Exposición docente,240710_06,240710_06_AB301_SZ.XLSX,240710_06_AB3D_JIN.XLSX
AB314,Exposición docente,240710_06,240710_06_AB314_SC.XLSX,240710_06_AB3D_JIN.XLSX
AB312,Dibujo/pintura,240710_07,240710_07_AB312_SZ.XLSX,240710_07_AB3D_JIN.XLSX
AB313,Dibujo/pintura,240710_07,240710_07_AB313_SC.XLSX,240710_07_AB3D_JIN.XLSX
AB308,Dibujo/pintura,240710_08,240710_08_AB308_SC.XLSX,240710_08_AB3D_JIN.XLSX
AB315,Dibujo/pintura,240710_08,240710_08_AB315_SZ.XLSX,240710_08_AB3D_JIN.XLSX
AB302,Dibujo/pintura,240710_09,240710_09_AB302_SC.XLSX,240710_09_AB3D_JIN.XLSX
