"ID","tb_score","tb_errors","tb_meanrt_correct","tb_meanrt_incorrect","ne_score","ne_errors","ne_meanrt_correct","ne_meanrt_incorrect","mt_score","mt_errors","mt_meanrt_correct","mt_meanrt_incorrect","bcd_score","bcd_lgst_streak","bcd_meanrt_correct","bcd_meanrt_incorrect","bci_score","bci_lgst_streak","bci_meanrt_correct","bci_meanrt_incorrect","sm_score","sm_lgst_streak","sm_meanrt_correct","sm_meanrt_incorrect","cs_score","cs_meanrt_correct","cs_meanrt_incorrect","jm_tot_test_trials","jm_score","jm_errors","jm_complete","jm_meanrt_correct","jm_meanrt_incorrect","jm_tot_ax_trial","jm_ax_score","jm_ax_errors","jm_tot_else_trial","jm_else_score","jm_else_errors","jm_ax_meanrt_correct","jm_ax_meanrt_incorrect","jm_else_meanrt_correct","jm_else_meanrt_incorrect","jm_drt_ax"
"C3B04",23,1,923.5,NA,14,4,4591.78571428571,3186.5,19,5,3924.63157894737,5819.8,3,2,7916.33333333333,2908.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3B09",24,0,810.941176470588,NA,13,5,2744.92307692308,4016,18,6,2483.16666666667,3293.5,3,2,4202,2716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3B12",22,2,956.941176470588,970.5,17,1,5113.11764705882,7500,18,6,3110.88888888889,3645.5,6,6,7355.16666666667,6339.33333333333,5,5,3393.6,3296.66666666667,19,12,7658.42105263158,10429,11,3940.54545454545,3667.5,60,57,3,TRUE,632.771929824561,NA,42,41,1,18,16,2,613.414634146341,NA,682.375,NA,-68.9603658536586
"C3B14",20,4,1305.85714285714,960,17,1,4995.23529411765,2239,17,7,4867.88235294118,5194.14285714286,4,4,10691.25,5609.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3C02",17,7,1087.71428571429,1298.75,9,9,3657.22222222222,2972.55555555556,14,10,2985.64285714286,2450.1,1,1,5281,5447.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3C04",23,1,1106.25,NA,12,6,3316.75,4878.66666666667,12,12,2237.75,3176.83333333333,2,2,3159.5,4128.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3D02",23,1,696.411764705882,603,16,2,1923.5625,1322.5,17,7,1355.88235294118,1598.42857142857,4,2,2385.25,1128.66666666667,4,4,3225.5,3770.66666666667,10,9,4805,7751.66666666667,11,2988.18181818182,2763.25,60,58,2,TRUE,788.258620689655,924.5,42,41,1,18,17,1,774.243902439024,900,822.058823529412,949,-47.8149210903873
"C3D04",24,0,1324.88235294118,NA,6,12,2537,3006.5,23,1,1887.34782608696,1770,3,3,5242.33333333333,2299.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3D05",16,8,1106.8,438,12,6,1910,2368.5,13,11,2802.92307692308,2728.45454545455,2,2,10328.5,2079.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3D06",22,2,897.588235294118,584.5,6,12,3235.16666666667,3992.83333333333,18,6,2194.44444444444,3124.66666666667,2,1,4513,798.666666666667,3,2,4141.33333333333,762,10,7,7852.3,13626.6666666667,13,3594.76923076923,4423.5,60,51,9,TRUE,950.490196078431,836.6,42,37,5,18,14,4,974.108108108108,815,888.071428571429,851,86.0366795366796
"C3D07",24,0,1128.47058823529,NA,16,2,3554.6875,14643,18,6,2714.5,2767.16666666667,2,2,4175.5,2114.66666666667,2,1,2387,4030.66666666667,13,7,12611.9230769231,11043,13,4238.76923076923,12794.5,60,57,3,TRUE,1069.82456140351,NA,42,41,1,18,16,2,1044.26829268293,NA,1135.3125,NA,-91.0442073170732
"C3D08",23,1,1210.375,NA,4,14,2691.25,3179.61538461538,17,7,3385.35294117647,3363.14285714286,3,2,7249.66666666667,3143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3D11",23,1,1080.125,NA,9,9,4242.11111111111,7125,19,5,2380.73684210526,2911.4,3,3,5595.33333333333,1971.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3D12",23,1,1546.1875,NA,10,8,2463.9,2387.5,16,8,2550.125,2851.375,1,1,4296,1721,0,0,NA,7124,4,2,3756,4112,11,5015.18181818182,7522.75,60,55,5,TRUE,981.618181818182,1163,42,42,0,18,13,5,920.714285714286,NA,1178.38461538462,1163,-257.67032967033
"C3D13",23,1,1141.64705882353,1083,17,1,2801.94117647059,2824,18,6,2531.5,3487.83333333333,4,3,5421.75,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3E01",24,0,1557.17647058824,NA,18,0,4716.61111111111,NA,12,12,3614.25,3933.16666666667,1,1,11717,2543,2,2,12812.5,13539,9,8,10089,13675.6666666667,12,13466.8333333333,16641.6666666667,60,57,3,TRUE,1632.28070175439,1834,42,41,1,18,16,2,1588.68292682927,NA,1744,1834,-155.317073170732
"C3E03",20,4,1259,592,9,9,5972.11111111111,5639.25,13,11,4343.46153846154,4525.90909090909,2,1,6687.5,2792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
