"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"C3F08",NA,4,1,1,3,2,3,0,5,0,51,NA,6,8,"Biparental",1,5,0,1,1,1,1,1,3,3,4,2
"C3F09","Madre",2,0,2,2,3,3,0,6,1,37,46,10,8,"Biparental",1,4,0,3,NA,NA,NA,NA,4,3,4,2
"C3F10","Padre",7,0,2,1,3,3,0,5,1,37,46,7,5,"Biparental",1,4,0,3,0,0,1,1,4,2,4,1
"C3F11","Padre",6,1,3,1,3,3,1,7,1,34,37,8,8,"Biparental",1,5,0,2,1,1,1,1,1,2,3,1
"C3F12","Madre",4,0,3,2,3,3,1,7,1,34,37,11,8,"Biparental",1,4,0,1,0,0,1,1,2,2,3,1
"C3F14","Padre",4,1,2,2,3,3,1,4,2,34,33,11,10,"Biparental",1,4,0,1,1,1,0,0,4,3,3,0
"C3F16","Padre",3,1,2,1,3,3,1,6,1,42,47,5,5,"Tenencia compartida",0,2,0,2,1,1,1,1,2,2,3,2
"C3F17","Madre",3,1,2,0,3,3,0,4,NA,33,30,5,5,"Tenencia compartida",0,4,0,3,0,0,0,0,3,3,3,2
"C3F18","Madre",6,1,1,0,3,3,1,NA,1,30,30,5,5,"Biparental",1,4,0,2,0,0,0,0,2,3,3,2
"C3F19","Padre",NA,1,1,0,3,3,0,4,0,30,30,5,3,"Biparental",1,3,0,2,0,0,1,1,3,3,4,3
"C3F20","Madre",5,1,2,2,3,3,1,5,2,56,55,11,5,"Biparental",1,3,0,0,1,1,1,1,1,2,3,1
"C3F21","Madre",5,0,3,2,3,3,1,7,2,45,43,11,14,"Biparental",1,4,0,1,0,0,1,1,2,4,4,1
"C3G01","Madre",1,0,2,3,3,3,1,6,2,34,35,8,3,"Tenencia compartida",0,2,0,0,0,0,1,1,3,2,4,1
"C3G02","Madre",4,1,2,2,3,3,1,6,0,36,38,11,9,"Biparental",1,3,0,4,1,1,1,1,3,1,3,1
"C3G03","Madre",6,1,2,2,3,3,1,7,1,42,56,11,11,"Tenencia compartida",0,3,0,2,1,1,1,1,2,1,NA,2
"C3G04","Padre",4,1,2,3,3,3,1,7,1,37,37,8,5,"Tenencia compartida",0,5,0,3,1,1,1,1,3,2,3,1
"C3G05","Madre",5,1,2,3,3,3,1,5,1,37,37,11,11,"Biparental",1,3,0,1,1,1,1,1,3,3,4,2
"C3G06","Madre",7,1,1,0,3,3,1,6,1,34,32,10,3,"Tenencia compartida",0,2,0,3,1,1,1,1,1,2,2,0
"C3G07","Madre",4,1,3,3,3,3,0,7,2,40,38,9,3,"Biparental",1,4,0,3,1,1,1,1,1,3,2,0
"C3G08","Madre",5,0,2,1,3,3,1,4,1,44,48,8,6,"Tenencia compartida",0,3,0,0,1,1,1,1,4,3,3,1
"C3G10","Padre",0,0,2,1,3,3,1,4,0,37,38,6,12,"Biparental",1,3,0,0,NA,NA,1,1,4,3,4,3
"C3G11","Madre",1,1,2,1,2,3,1,7,1,41,40,5,5,"Otra configuración",0,3,0,3,1,1,0,0,1,1,2,0
"C3G12","Padre",3,1,3,3,3,3,0,6,NA,40,47,3,9,"Tenencia compartida",0,3,0,0,NA,NA,NA,NA,3,2,3,1
